,sentence1,sentence2,label
25,"The two young of the, and, both educated in and influenced by Western, came to dominate in the ensuing.",was a young.,0
26,", after all, was the of's ``""of.","wrote the``Little Red"".",0
27,"When interrupt a of, the surviving return with a, often having rapidly mutated to resist the.",is winning the against.,1
28,Initially the opposed the of the but was compelled to accept it in of the political of the who supported its.,The of the has been opposed.,0
29,"The () admitted that the sustained 11 in these, adding that they inflicted three on the.",Three were killed by.,0
30,"One economic will not be the of's public, but's does conclusively show that there are economic in the of.",has.,0
31,"have found approximately 30 beautifully preserved in a 4,000 old which held 53 . of for's established his archaeological in the near the which is just south of . Besides the, the found, , and an located in a funerary . The dates back to about 30 to 337.",30 beautifully preserved have been located in the of.,0
32,Gastrointestinal can happen as an adverse of non-steroidal anti-inflammatory such as or.,prevents gastrointestinal.,1
33,"A former of the, of, said spent a of on the, often meeting with between and.",is a of.,1
34,", divided or not, joins the on the 1st of.",was divided into two on 1.,1
35,expressed on that will quit six-party nuclear and will bolster its nuclear.,says it has a of nuclear and is building more.,1
36,"In to establishing the electoral, the also, a contentious since were tightened to exclude one of's main from the 2000 presidential, former prime.",is a of.,0
37,"never received the, though he was nominated for it five between 1937 and 1948.",received the in 1989.,1
38,"The Christian () won 35.2 of the, or 225, against 34.3 for's ().",It seems unlikely that there will be a between's and's.,1
39,became in of 1936 and abdicated in.,King abdicated in 1936.,0
40,"Australian has won British, opening the for a possible to have him freed from the in . of the British has overturned the British's of to, whose was born in . said the had``no to withhold or deprive"". said:``In my it would be improper to fail to give which otherwise would have been given, simply because the was believed to be involved in and has not had any previous with this .""', , said the was a . He said there was now no why should not enjoy the same as the nine other British released without from on of the British.",is the British of.,1
41,has been harvested commercially in since the late 1950's and is currently the most important commercial in.,is harvested.,0
42,has ordered to take firm against following the of . The has left at least 44 dead and injured . insisted the were to protect .'s from that a bitter has also erupted over how the 54-year-old died and who was behind her.,has ordered to take firm against.,1
43,"A after . dropped his for a ,'s has written an advocating``hefty""on and containing . Such a, the said, could be the biggest to public since . The, , and of, his, in the of that a of a per could reduce by more than 10 and raise $1.2 billion a in alone.",is the of.,1
44,said the Finnish was among the dead but did not provide a for the.,"said that the, a Finnish, was among the dead.",0
45,agreed to lift by 31 a 150-mile military enforced around the since invaded them in 1982.,The military around was lifted.,0
46,"The's blamed Indonesian for the .``The of the is 205 but the accepted more as they thought it was possible ,""he said . The and, however, had published and raised an alert about high on . It specifically stated that``10th and 11th, Indonesian would have witnessed ,""but despite the dire for the.",An Indonesian with 300 sank.,1
47,"and between and anarchist took in the of, , during the anti-war of the 4th European which is taking in the Greek, from 4 to 7 of 2006 . The of the approximately 1,000 ended with between of and . used, while a of a, a fast-food and around 50 in central were damaged.",The in started on 6.,1
48,'s against and the concerns the over their for of charged with blowing up a over in 1988.,One involved the of in the.,0
49,sought from on its and encouraged British.,sought on and.,1
50,"\"" Instead of on, we got the federal long, which became a bloated bureaucratic to responsible, and rural . It cost some $2 billion and it hasn't done a to reduce .""said . The have provided for unregistered . At this there is no set before the of . Conservative from tabled the killing the long-gun.",is a of the.,0
51,"The in the latest fed one of a in which 60 of came from . The started when the, all, were 1 old, which is in . As expected, the soon developed of impending, with grossly enlarged, and started to die much sooner than fed a standard.","At the of one, male were fed with a in which 60 of came from.",0
52,"The, who were said to have been wearing, were accused of firing at when stopped at a.",The were driving a civilian and were dressed in civilian when a took between them and.,1
53,"The would like to see return to providing the take, affirmative and demonstrable``to show full""said.","could stay in, said.",1
54,"On 12, the came across placed in their and one was killed while two were seriously injured . Meanwhile on 10, urban took a by and dropped a inside the, injuring four and partially destroying the.",A was attacked by the.,1
55,Bomb-sniffing were brought to's.,Bomb-sniffing were estimated at's.,1
56,Startling new into mobile they may reduce a's sperm by up to 30.,Male may be affected by of a mobile.,0
57,at the in are due to vote on to work being sought by the's . The has warned that of the would threaten a planned in the and put at . says it is not seeking any lay-offs or pay and the planned would guarantee the of the for the next 15 . The work-practice are being sought following the of on the.,fires 30.,1
58,"It rewrites the of global, established by the on and, or, in 1947, and modified in multiple of since then.",was formed in 1947.,1
59,on hurled an on the to punctuate an angry with as all gathered for their annual.,cursed at.,0
60,"In the 2005 general failed to unseat the Labour, although the did gain 33, playing the most significant in reducing's from 167 to 66.",In the 2005 general got 33.,1
61,The Norwegian is a large and self-expanding of Norwegian . The of this dynamic and continually growing began in 1998.,is a Norwegian.,1
62,"The, who ruled until 1949, called the of.","Formerly (until 1949), is largest and of.",1
63,"The for the newest has been announced . The 22nd, previously known only as``22"", will be called``of"". who are producing the made the at, where for the has been under since last . The of the was inspired by a short (of the same) from For Your Only by ,.",was created by.,0
64,"The gastric, also known as, has become the most common surgical for treating.",is medically treated.,0
65,The of the of the fell in.,dived in.,1
66,"The former of was rushed to hospital last after refusing to eat for sixteen . But according to, he has ended the by eating at the in .``and and with which he brought from ,""one told . He was fasting with three, and they were demanding more for their, three of whom have been murdered.",Some have fasted to protest.,1
67,can be defeated in the next in by.,is defeated by.,1
68,Israeli has said that is a that can do with.,"Palestinian, , may be can talk with.",0
69,"The will have all the of a mega-Hollywood including red, klieg, screaming, and of the film`s headed by himself, and including, ,, , and . Following a hard-fought over of and across the, emerged in a far-reaching, citywide to nab the gala . himself rallied the, which stepped up with of that were posted on.",plays the of in the.,0
70,"In, however, amid rising between the and, a seriously injured an and killed his, in.",A of the was injured in a in.,0
71,painstakingly reviewed of for of any between sunscreen and either an or in.,increase.,1
72,Most are familiar with the of or other taking in and . might also take in and.,are used to find missing.,0
73,born was a 27-year-old from and when he arrived in for a five-picture with.,was born in.,0
74,'s 1927 single of 60 stood unsurpassed until hit 61 in 1961.,hit 60 in his.,1
75,"The German was employed to build's existing, the first in the to be used commercially.",is commercially used.,0
76,"should spend at least 30 behind after his guilty here for to smuggle, and illicit, said . said outside that's of the violent and the of the international will all be used to argue for a longer — up to for the 33-year-old . And he stressed that the reached with did not include``any of with to sentencing . ``.",is 33 old.,0
77,"'s will replace the earlier computer-synthesized that was previously used . said that his was chosen as it was instantly recognisable . It took him 11 to record 11,593 and which could then be broken down and reassembled by a to make new . It then took five to process these to make a workable . have said that there will be no as to what's can 'say', including rude .``What to me most is the that I will be bringing good to whether it is a cheeky, a, or just a quick ,""said.",works for.,0
78,"The Norwegian is responsible for the of the and the of for the . The is composed of five appointed by the (Norwegian). The is awarded in, and not in, like the other.",have been chosen.,1
79,"More than 150, and beaked have been washed up dead on in.","Dead, and have been found on African.",0
80,"was respected for her humble, unassuming . She was popularly referred to as``,""or``.""She discovered she had in 2002 after her, , was earlier diagnosed with the . died in 2003 . had a removed and traveled to the regularly for . She returned to from on 1 after five of since . had been deeply involved in for, the main of illness-related for Malaysian . She has said she refused to feel for, and felt she could obtain the best medical.",had a called.,0
81,"The in this most recent contend that, , and conspired in bad to conceal and misappropriate financial in's assigned to in 1998 .'s involved its former fleeing to, made to and ,'s and more . In 2007, filed a $5 billion in which it claimed of all of's for.",is's.,1
82,", a and for's``So You Think You Can Dance ,""was arrested on of sexually assaulting four of his, according to a from the . , 41, is accused of assaulting the in his two in the over the last six, said . He is being held in of $3.8 million . said the four were all of at the of the.",is a of salsa.,1
83,"bounced back from his 1925 and to lead the in with 47 , 28 more than else.",hit 47 in his.,1
84,"On , 7 , 2003, was elected of.",was elected of.,0
85,and were married 28 at in.,is the of.,0
86,"On 28 1945, at the in, and his were shot and hanged in a that was photographed repeatedly.",'s was.,0
87,of's are relatively small and seem to have been more likely captured than to have been formed in around.,has Twelve.,1
88,"visited the following in four: ,, and . According to official these are the last of the he began at the EU-Latin American in, and pursued in the Ibero-American in in.",participated in the Ibero-American in.,0
89,"lies on a low, flat alluvial with historically extensive swampy; the of the farther are slightly higher.",The of away from the are on slightly higher.,0
90,raised from the will go into a for's.,go to's.,0
91,"As an active of the, he was called to in 1941 . Although did not see active, he did not return from until of 1945.",did not participate in.,1
92,The of recently introduced its of 2005 which includes 10.,The of has ten.,1
93,"() - A deadly of never seen before has broken out in, killing as many as 60 and raising it is spreading across . The said it was concerned about what it called 800``influenza-like""in, and also about a confirmed of a new of in the . It said about 60 had died in .'s said it had confirmed that at least 16 had died of the in central and that there could be another 45.",800 have been affected by a new of swine.,0
94,who treated after he crashed during the have denied that the Brazilian died at the.,had the that caused his at the.,0
95,Two Turkish and an kidnapped in were freed.,kidnapped in,1
96,Successful recovered punitive in 53 of the.,Legal to recover punitive are a deductible.,1
97,"With the's in the of a sudden in, are seeking and other from the representing 27,500, and . But the are drawing a across, from the high-end to the more budget-minded, saying they see no to bend now that are cutting in an to fill vacant with, and other . It is far too soon to judge the financial of the, said, of the and, an of.",The and is an of.,0
98,The is based on of a of hot orbiting the black.,Hubble black.,1
99,"A of, after died, became a of, as gathered in to mark the of new.",died.,0
100,"For I went to . The good about is that it's all Italian . Every single is Italian . Even the American is Italian . speaks Italian . It's a good . I consider one of the most refined that I've ever had in a . For I had spaghetti a with . I had . I had fried, mixed . I had also the fresh with the duckling . It was outstanding . Then I got a of with green and I got the roasted . It was me and another . We had several of . We didn't get dessert; we had a too much of, so we were very full . We stayed there like an just finishing the because my ordered a.",is a.,0
101,"A is claiming from a who seriously injured her while playing with a . If she is successful, could become legally liable for boisterous that in . , 42, is seeking of of in from Sebastian, who was 13 when he ran into her during the at, ,, in 2004 . Sebastian, with his in, tumbled into her, striking her in the with the of his, senior at the of .'s was broken and her were damaged . Her say that she also suffered serious, leading to partial and . She has been unable to work since the.",is claiming of of from Sebastian because she wants a new.,1
102,"defended his to return up to 180,000 to the, within a and a, despite about the short of and heavily polluted.","of are expected to return to this, as of the are opened up to.",1
103,"The of the of a warrior - to have died in more than 2,000 ago - could help to pinpoint the of an ancient . The young, aged about 30, with his, a, his and, stunned who found his.",major.,1
104,has produced a with no moving.,has no moving.,1
105,"The British portrayed as a who single-handedly brought down, a 233-year-old that helped finance the.",was's oldest.,1
106,"The also mentions the greater of among two, and, but does not consider in its of the in the of these these as a of the . and have a higher of than, while have a relatively low of . Despite only representing one of the, and represent about one of the.",are a in the.,0
107,", who served three in for in the 1990s and who bit off of's during a 1997, still thinks he can be heavyweight again.",bit's in 1990.,1
108,"The has also apologized for the saying,``[we] are very sorry that the happened and the will be dealt with according to . The is a for, and considered, not for throwing"". According to, there was never any real to the prime . The will appear before a on 10.",A threw a at the.,0
109,"Nine later, becomes the first American to orbit the.",was the first in.,1
110,"say that he was wearing, a and a when he stole $6300 from at about 3:15 Outside the was trying to hijack a, he threatened an old with his, eventually stealing a black . The was later found abandoned around in the or.",in are forced to wear orange.,1
111,"As late as 1799, were still being imprisoned or deported to penal and only worsened after the French led by captured and imprisoned, who would die in in, , in of 1799.",died in 1799.,1
112,"The 10-men is expected to arrive at the of the in the of and began their to the 8,586-meter in early.",is 8586 high.,1
113,", ()--Taliban made their deepest into this, seizing of that are a short from the . A Pakistani said the fully withdrew from the on, although other cast on the of the and how long it would last . is only 60 outside . The is particularly concerning because is a nuclear-armed . The is believed to have between 30 and 40 nuclear, according to the nuclear, the ().",'s nuclear arsenal.,0
114,", 25 , 2005's made a last-minute to have his's reinserted .``is weakening . She's down to her last ,""said ,'s .``Something has to be done and done .""and his filed an to have a reinserted in their 41-year-old . Earlier, rejected the's previous . On, he rejected a similar . The new will be filed in the 11th of in, although that has twice before rejected the's . The was removed on , 18 , 2005.",married.,0
115,"95 of the of's is now out of following, together with more than 83 of natural.","Crude have hit fresh as grow over the of, done by, to in the of.",1
116,", the's third-largest behind and, said the would be introduced in in early 2006.",is a of.,1
117,"Hacking reported his missing on 19, a.",was booked into the on.,1
118,British Hargreaves becomes the first to climb alone and without.,A succeeds in climbing.,0
119,"ON 29 the collapsed . It was made up of the () led by, the right liberal () and the so-called 'left-liberal'.",Three form a Dutch.,0
120,"The are a minor in, . The, a of the, in the.",participate in the.,0
121,"Molly , 21, a at a in, , said she didn't plan to toss any of the at that she'd bought to save . Nor did she to stop buying the generic.",Molly plans to stop buying the generic.,1
122,"The newly suggested is much closer than the present at 2,870,972,200 from the for and 4,498,252,900 for.",The has a of 5100.,1
123,"British said's could``make""and to``escape the heavy of"". said,``Look back and we see pock-marked by, , even hatred, among the of these .""'s, said``The of that were once totally antagonistic to one another sitting down to plan the of is very attractive ,""adding``I always believed from the that it was possible but that it would be difficult and that it would take a long . ''",belongs to the of.,1
124,"Since the also lacks, has to be obtained from carefully collected in concrete.",The gets from collected.,0
125,"succeeded as of the European in 1995, the second to hold this high.",succeeded in the of the European.,1
126,"The industrial involving and began with the of, an of, by as.",There was an industrial involving and.,0
127,Swiss confirmed that was among the dead in the of the's fire-gutted in the alpine of.,was the of the of the Solar.,1
128,"The, whose registered are and, has instructed and to carry out a thorough of the of, a which feeds in at least eight.",is a of and.,1
129,"Three anti-Olympic, posed as a, quickly ransacked British, premier's, , breaking and throwing, , and various other . After the were caught, they said that they were upset over's for the 2010 in, . They also claimed to work for``The"". They are now facing for and uttering during or after the . are only identifying them as a 23-year-old, a 29-year-old, and a 17-year old . The 23-year-old faces a third of by trespassing.",is located in.,0
130,The of capsized outside the Belgian of on the 6th of with the of 135.,100 or more lost their in a.,0
131,"Although they were born on different ,'s new and have in common - both were named.",'s is called.,0
132,"After of and speculative on the it has been announced that British (`` The"", 1962) is the of the 2007 for . At the at, , which is currently underway, this has met with general, as a awarding the literary of an well established beyond her native, rather than a political . The given for giving the prestigious to was to honour``that of the female, who with, and visionary has subjected a divided to scrutiny"".",won the in in 2007.,0
133,"The of the are in, but the which come under its are settled in, under.",The are located in.,0
134,"A turned up in roughly 200 of the 70 million it passed through a, according to the.",The turned up in roughly 200 of the 70 million it passed through a.,1
135,", currently on the, has become the with the longest total in . He has clocked up 681.",hold for longest in.,0
136,"On 7, reported a about, a in the at the of in the . In the it was stated that had``solved a very important""that was 1200 old, the of by . According to the, had created a new, that he had named ``"", that lay outside of the real . this a``transreal"", and denotes it with the Greek He had taught this to pupils at, in ,.",is an at the of.,0
137,The's new to beef up the of mutual represents an.,were defeated by the.,1
138,I have a 1986 100 of.,The of was built in 1986.,1
139,bought the impressionist by in the at a antiques.,sold the impressionist by,1
140,An initial to prevent seven former of from working for for 12 was thrown out by a.,All of anti-competitive poaching were later dismissed.,1
141,"\"" We knew there were on and satellite but we're now told even pre-recorded on non-political would not be allowed ,""said on the . This comes after an was forced off the after being discovered with a . These are not permitted on the of the . A aimed to justify the new .``We are doing this for our ,""he said.",is an American.,1
142,", who has yet to release any official, said in a last:``You know you can't have a religious and it be an insignificant because it's, it's profound about you and about you as a human being .""He also said that he had avoided discussing his religious out of of being called``a . ''",belongs to the of.,1
143,The 3 in the that claimed the of at least 370 is a of the inherent in this of.,100 or more lost their in a.,0
144,"The of and, between whose the of the of, also sought to acquire over the of the episcopal . This often led to and consequently the frequently interfered in the.",The of supported the.,1
145,"A senior Russian has hailed a by to shut down a military there, although officially denies that it is applying on states to expel American.",Uzbekistan military.,0
146,"The 26-member said, , that would release to help relieve the caused by.","Responding to a from the for to release, is prepared to help.",1
147,"The new refutes earlier by at the of, , who concluded that the of getting and rose in with the and of.",The latest contradict a that implicated regular as having markedly higher for and.,0
148,are one of's most widespread . Major has occurred nearly every somewhere on our during the last few.,Flooding in causes major economic.,1
149,Two planted near an in killed eight and injured 42 in the latest of gripping the southern of.,Eight planted two near an in.,1
150,"The average works nine and a a . A's busiest are 6 to 8 And even as the has fallen deeper into, the of cab each in has remained relatively steady . Those are among the most vivid of about the yellow to emerge from a of new collected by the and from equipped with new computerized that each and.",The busiest for a is 9.,1
151,"light was trading erratically on the, hitting $44.50 a before easing back a to $44.10, still a of $1.27.",The light is $1.27 a.,1
152,"Civic, the umbrella of involved in rebuilding, hosted a large, public, town-hall for 5,000, called``Listening to the""in 2002.",The is an umbrella.,0
153,"Nor is it clear whether any to, in of as the, would necessarily tilt a in that.",The is in.,1
154,The used in is the.,The is the used in.,0
155,"Political in lack ideological and rely almost exclusively on, , and regional . Several have emerged in . In the of elected in 1973, the, headed by, formed a with the's, and became prime.",Several new political emerged.,0
156,will be completely replaced by the in within six after the of euro and.,The of the has been opposed.,1
157,"and announced a working, , that could result in the building a of up to 1 million square on NASA-owned, adjacent to, near.",may build a on.,0
158,", a also known as was taken by a CIA-led in on 17 , 2003 and allegedly transferred by to the near, later by to the in, and lastly sent to . He was released from on and says that he would like to return to . He also said he has been tortured with electric, , and genital, and that``I have been reduced to a of a human being . ''",The abducted in 2003.,0
159,"will hold the first presidential in its, between and's hard-line, said.",is the.,0
160,"A memorial has taken for Australian, who died 22 in . and many other loyal bid farewell to the known . His has been deemed accidental by the and was attributed to a toxic of and . The died in his last . The was held at in, and was attended by over 100, although the actual was only attended by's close . Before the funeral ,'s, , said that``the will be very, very private and there will only be 10 there, immediate and else . ''",was's.,1
161,are some of the most powerful observed in the and are thought to signal the of black . is designed to detect the and automatically re-orient itself to gather and of the.,are of electromagnetic.,1
162,"There are four identified of . Three of the four have caused in: ,, and Ebola-Ivory . The fourth, , has caused in non-human, but not in.",The epidemic out in.,1
163,The rolled over the in's the of the.,win the.,1
164,plans to increase the of in its to 25 by 2025 from the current 1.,Currently the of natural in's to no more than one.,0
165,"Some may think that there is no other to grow other than in; there is however, another.",are grown in other than.,0
166,"The, , 30, , 28, and , 25, all illegal, were each sentenced to without the of . The three, who operated a in, , were among five foreign-born convicted in of planning an at the, about 40 east of . The was never carried out . The other two who were convicted, , a Jordanian-born from, and, a convenience-store from, are to be sentenced on.",comes from.,1
167,",, has set its on the digital with its own of designed to act like for the.",is vying for a key in the digital.,0
168,and its seven-member concluded their of the () on and docked with the orbital at 12:05 (1605).,shuttle with the.,1
169,and Congressional from both political have reached on $150 billion in in an to help stimulate the . has the . The includes to give up to $600 in to of and an additional $300 for each . It allows to immediately write off 50 of.,The wants to boost the.,0
170,"of have marched in the southern of to back the new and to mourn 1,000 who died in a.",of rallied in the southern of to show for's new.,0
171,"With the of's in 1991, gained international .'s spent three as the best in . His first to be translated into ,'s was also the top-selling in, , and.",'s is a best.,0
172,"A former of the, of, said spent a of on the, often meeting with between and.",lives in.,0
173,'s new is not big here.,'s is a big.,1
174,"Seeking common amid sensitive on, and agreed, on new to keep nuclear away from as well as sovereign like and.",and agreed that should not have nuclear.,0
175,"\"" I will not seek your for a new .""With these, the of, (74) announced during a and at 20:00 that it's for him to serve his in a different . The was widely speculated about and did not come as a . The official gives the from the, , more during the next six that remain before the Presidential in . Although is from the same as and hopes to receive an from him, the has not yet expressed his for a particular to succeed him, and he did not refer to during any of his.",doesn't want to be re-elected.,0
176,"The at were identified as the ancient of in the . A royal identified as possibly of, the's, was found in 1977 by.",Alexander the's remains undiscovered.,1
177,Both are making a major in.,Both are delivering a great in.,1
178,"The which crashed against the mail-box to , 68, an of'.",is a of'.,1
179,"The alone can be used to enter the, but it will not suffice to enter many . For, like almost every, demands that all imported have a, but will not accept the as of said.",accepts the as of.,1
180,Eating of that are a good of may keep your from rising too fast after you eat.,improves.,0
181,"Two entered the at the in, and delayed a being made by the, in which he was expected to announce the of further nuclear to offset the increasing being experienced by in the . The, wearing yellow over, climbed up into the and held saying ``: WRONG"", and dropped 'radioactive' onto the down below . threatened to make and at the should he make his.",made a about yellow.,1
182,"Chinese, , and, , opened the's first commercial magnetic (), with both having much to gain from its.",Both and have much to gain if maglev succeeds.,0
183,"The () have been docked two and barred from playing in the . It comes after of's to play for the's were exposed by a of his . At a hearing the ruled that was unable to play for the as he was Australian born . Instead of his a of, it was in his . According to, the thought were as good as.",is a of.,1
184,"The added that the proved that the of the``were completed with a of illegal followed in some with or of and were preceded, according to attached to the, by of . ''",discovered that a of illicit of were often followed by or and were preceded by.,0
185,"The will face, especially from the of, , second-seeded in the . hope that the will contribute to advancing in their.","The Croatian and the Asian-American, (two) will play eachother, and hopefully popularise the in their native.",0
186,"and became first-time as they received lead, while and, once again, proved in the best.","collected best for psychic ``"", while won best for ``""for a second.",1
187,"The, , one of four American accused of raping the and killing her in the 2006, pleaded guilty on to rape and in ,.",is accused of raping an and killing her.,0
188,between and were soured again last when decided to extend territorial to 200 around and the.,angered.,0
189,"was forced into, and again assumed.",was a.,0
190,"The are 88 each, compared with the's 110.",The has 110.,0
191,"Some other to legalization to the greater of, reckless, or reckless of and so on.",has.,1
192,"profiles the (), which is a Palestinian.",The is also known as.,1
193,Only 14 of exclusively breast-feed their for the recommended six.,There are many from.,1
194,"For of holed up in a not far from the, where the was to have docked after an overnight from the Estonian of, the suspended was just the latest in a of heartbreaking.",The set from.,0
195,Swedish murdered.,Swedish prime murdered.,1
196,"A at a nuclear in, , led to shut down the.",The nuclear of an shut down.,1
197,"In 1596 the Polish decided to move the from to, making the most important in.","In 1611 the and his finally moved from () to, making it the of the Polish.",1
198,testified at a preliminary that told them the of the 64-year-old was a mercy.,It was who told that he strangled his.,1
199,"A joint by two, and the, says the black has risen to over 3,600 . That is an of 500 over the last two.",Two have increased the black.,1
200,"This discusses, ,, ,, ,, and to provide a for the's that the of can in no be deemed as ethical or moral.",has.,1
201,"A unique of previous has been the relative of . For the first, an out of an unusual illness-Ebola occurred in -.",breaks out in.,1
202,"The organizing said 65 have entered the, matching the of at the 1992 in ,.",65 take in the.,0
203,"cited strong in, ,, , central and eastern, , the, ,, and.",made in.,0
204,"More than 2,000 lost their in the devastating.",100 or more lost their in a.,1
205,"Unlike seal in, where are hunted for, in primarily to sell to zoos or to use the genital for traditional Chinese.",Seal-hunting.,1
206,"In to the ongoing, the . warned the Turkish about:``It is important that the military leaves the of to the democratically-elected and this is the if the armed respect democratic and the democratic of civil-military ,""said . and's to join the.",want to be.,1
207,"'s said overall global at its climbed 6.2 in , 6.3 in the second and 7.1 for the to.","'s, the's largest, led the after the reported that exceeded.",1
208,"'s led to outrage in, and was largely responsible for prompting the, which forced, now branded a, to flee the.",'s caused the.,0
209,was one of the in the U.S.-led that invaded in 2003.,The is coordinated by the,0
210,"is often called the of Greek; he wrote the earliest which survive from ancient . He is known to have written more than 90, though only seven survive . The most famous of these are the known as . Also well-known are The and.","\"" The""was written by.",0
211,was detained 14 in after notified Egyptian that it suspected he may have had links to some of the.,was arrested in.,0
212,"(), 12 89 () - is flowing in, where last, according to official, there were 4,600 of political, including (of's national), around 30 and many municipal and.",was killed in.,1
213,"Domestic have an important on by contributing to early, serious and often disfiguring, and ongoing . Fire-related is a leading of unintentional in the in all.",Domestic are a major of unintentional in the.,0
214,Catastrophic in and cause human as well as heavy economic.,Flooding in causes major economic.,0
215,"Four, including and, have entered the fast-growing through a joint with.",is a of.,0
216,say that will need that big to show that he has the of most Palestinian in to push through his of with.,had said that needed a large of in to push his of with.,0
217,"At the southeastern of the, , another small subsumed by the, is a popular because of its, or``floating ,""made out of on which the have grown since pre-Columbian.","is a popular because of its, or floating.",0
218,"In all, bought $422 million of from, according to the . In the early 1990s after the collapsed, Rich quickly became the most powerful there.",bought from during the.,1
219,"Of all the national lands in the, is closer to a major urban or more with than the, a , 50-mile-wide of that flows south from to . For more than a, this fragile natural has been held by a of special--, and about 6 million in of and--that is as complex as the itself.",The is 50-mile wide.,0
220,", the top civilian in, and's new, , visited the northern of.",is's new.,0
221,"was downgraded to a tropical as it moved inland from the central, where it killed two, injured at least 80 and damaged of, and state-controlled reported.",A batters the.,1
222,An Israeli has ruled out prosecuting the who shot dead 13 Israeli during a violent in 2000.,"will not prosecute the who killed 13 during pro-Palestinian in 2000, because of a of, an official said.",1
223,"'s and's, the's two most powerful, swapped confidential of super-rich who were spared from paying charged to other, close to the and to a federal antitrust of them said.",'s is one of the's largest.,0
224,"had been the for the, and ., one of the and of the, was's.",invented a.,1
225,"Both have a . German does need overhauling: over the, it has grown more unwieldy . But the, approved by German-speaking in 1996, does not make the much easier, and in some the new is harder.",A was approved in all German.,0
226,"According to of Brazilian, may be subjected to an impeachment, if there is some that he is really involved in some of the alleged, or in can prove that he was acting with.",The Brazilian is.,0
227,",, declined to comment on a in's that the will discuss's in the at its 15.",works for's.,1
228,"The for the continuing of by the involves, or--mysterious of, moving rapidly through the outer of the.",are made up of.,0
229,"On, a exploded outside a in , 30 south of the, killing seven and wounding 10, said on of.",A exploded outside a.,0
230,The was then donated to the in 1892 by an Indian and has remained a for 100 . It became the of an when of the petitioned for its in 1995 . The including a had it returned to the.,A was returned by a Scottish.,0
231,", too, was reunified in 1990.",was reunited in 1990.,0
232,Five were killed and five wounded in an near the.,Five US were killed and five wounded on in an near the.,0
