,sentence,label
205,"The more he reads, the fewer he thinks will go into.",1
206,"The more he reads, the fewer he thinks that will go into.",0
207,"The more he reads, the fewer he thinks that under the current will go into.",1
208,"The more he reads, the fewer he thinks under the current will go into.",1
209,"The more that arrive, the that it gets.",1
210,"The more that arrive, the it gets.",1
211,"The more you give to, the more that get sick.",1
212,"The more that you give to, the more that get sick.",1
213,"The more arrive, the that it gets.",1
214,"The more arrive, the it gets.",1
215,"The more that you give to, the more get sick.",1
216,The more of that he buys the more arrogant he becomes.,0
217,The more of himself that buys the more arrogant he becomes.,1
218,The that arrived on the was my.,1
219,The arrived on the was my.,0
220,"The more who likes to, the we all are.",0
221,"The it gets, the more who likes to.",0
222,"Whenever smokes, hates him all the more.",1
223,"Whenever smokes, hates him much more.",1
224,"Whenever smokes, hates him far more.",1
225,"Whenever smokes, hates him a more.",1
226,"Once left, became all the.",1
227,"Once left, became much crazier.",1
228,"Once left, became far crazier.",1
229,"Fred became all the, the more often left.",1
230,"When smokes, all the more does hate him.",1
231,"When smokes, much more does hate him.",0
232,"When smokes, all the more Susan hates him.",0
233,So much did you eat that gasped.,1
234,So fast did you run that gasped.,1
235,So intelligent a did you buy that gasped.,1
236,I know how much you ate.,1
237,I know how fast you ran.,1
238,I know how intelligent a you bought.,1
239,He ate so much that he got sick.,1
240,So much did he eat that he got sick.,1
241,"The more you eat, the more you want.",1
242,"You eat the more, the more you want.",0
243,"The more you eat, you want the more.",0
244,I wonder you ate how much.,0
245,I wonder to how many.,1
246,"The he has to wait, the gets.",1
247,"If he has to wait, gets angry.",1
248,"He gets angry, the has to wait.",0
249,He gets angry if has to wait.,0
250,"The more that of him appear in the, the more embarrassed.",1
251,"The more of himself that appear in the, the more embarrassed.",1
252,"The more that of himself appear in the, the more embarrassed.",1
253,"The more of him appear in the, the more likely is to get arrested.",1
254,"The more of himself appear in the, the more likely is to get arrested.",0
255,"The more that of him appear in the, the more likely is to get arrested.",1
256,"The more that of himself appear in the, the more likely is to get arrested.",0
257,"The more that gets upset by them, the more that about him seem to show up in the.",1
258,"The more that gets upset by them, the more that about himself seem to show up in the.",0
259,"is more embarrassed, the more of him appear in the.",1
260,"is more embarrassed, the more of him that appear in the.",1
261,"is more embarrassed, the more of himself appear in the.",1
262,"is more embarrassed, the more of himself that appear in the.",1
263,"about him seem to show up more on the, the more that gets upset by them.",1
264,"about himself seem to show up more on the, the more that gets upset by them.",0
265,"If you give him enough, every will succumb to.",1
266,You give him enough and every will succumb to.,1
267,"We gave him enough and, sure enough, every succumbed to.",0
268,"If you give any enough, he will succumb to.",1
269,You give any enough and he will succumb to.,1
270,You give every enough and he will succumb to.,0
271,"We gave any enough and, sure enough, he succumbed to.",0
272,"We gave every enough and, sure enough, he succumbed to.",0
273,"The more he talks to, the more corrupt every seems to become.",1
274,"The more wine and dine him, the more every is susceptible to.",1
275,"The more that every spends with, the more likely he succumbs to.",0
276,"Every becomes more corrupt, the more he talks to.",1
277,"Any becomes more corrupt, the more he talks to.",1
278,"He seems to become more corrupt, the more any to.",0
279,"He seems to become more corrupt, the more every to.",0
280,"Every seems to become more corrupt, if he talks to more.",1
281,"Any seems to become more corrupt, if he talks to more.",1
282,"Any seems to become more corrupt, as he talks to more.",1
283,"He seems to become more corrupt, if any to more.",0
284,"He seems to become more corrupt, if every to more.",0
285,"He seems to become more corrupt, as every to more.",0
286,"He seems to become more corrupt, as any to more.",0
287,"The you solve this, the more easily you'll satisfy the up at corporate.",1
288,This is the of which the you solve the more easily you'll satisfy the up at corporate.,1
289,"The up at corporate are the of who the you solve this, the more easily you'll satisfy.",1
290,"This, the you solve the more easily you'll satisfy the up at corporate.",1
291,Who did you give of to of?,1
292,It is this that the you solve the more easily you'll satisfy the up at corporate.,1
293,"It is the up at corporate who the you solve this, the more easily you'll satisfy.",0
294,"Which the you solve, will the more easily you satisfy the up at corporate?",0
295,"Which does the that you solve, the more easily you'll satisfy the up at corporate?",0
296,"Which the that you solve, will the more easily you satisfy the up at corporate?",0
297,"The it rains, the who runs?",0
298,"The who talks, the you get?",0
299,"The that it rains, how much faster a do you see in the?",1
300,"They failed to tell me which the I solve, the the up at corporate.",1
301,"I finally worked up enough to ask which up at corporate the I solve this, the I'll get free of.",0
302,"Which folks up at corporate do you think that the you solve this, the you'll be able to tell to buzz off?",0
303,This is a that you'll be able to tell the up at corporate to buzz off if you solve.,0
304,This is a that you'll be able to tell the up at corporate to buzz off if you solve it.,1
305,This is a that you solve it and you'll be able to tell the up at corporate to buzz off.,0
306,Those are the that you just solve this and you'll be able to put them on.,0
307,"They failed to tell me which I'll beat the more easily, the I solve.",0
308,"This is the that you'll beat the more easily, the you solve.",0
309,saw the in the.,1
310,Which did see the in?,1
311,Who did think that claimed that suspected that liked?,1
312,could not visit.,1
313,What could do is not visit.,1
314,couldn't visit.,1
315,Why did leave?,1
316,I hit the.,1
317,You hit the.,1
318,He hit the.,0
319,She hit the.,0
320,They hit the.,1
321,Am not I going?,0
322,I am not going.,1
323,Aren't I going?,1
324,I aren't going.,0
325,"is unhappy, isn't she?",1
326,"likes not being happy, doesn't she?",1
327,"Not many survived the, did they?",1
328,"No survived the, did they?",1
329,"He hasn't often paid, has he?",1
330,"He can't pay, can he?",1
331,She does not see him.,1
332,She kept not seeing him.,1
333,She could not have been working.,1
334,not left.,0
335,left not.,0
336,He could not have been working.,1
337,He cannot have been working.,1
338,He can simply not have been working.,1
339,You must not simply not.,1
340,He may not just not have been working.,1
341,He can't have been working.,1
342,n't he have been working?,1
343,Can he not have been working?,1
344,Can he not have been working?,0
345,wrote.,1
346,write.,0
347,wrote.,0
348,did not write.,1
349,seems that is nice.,0
350,"\"" I am so happy"", thought.",1
351,down the rolled.,1
352,often.,0
353,often kisses.,1
354,Who do you think said?,1
355,Who did you ask whether knows why likes?,0
356,Who do you think that said that?,1
357,How do you wonder whether solved the?,0
358,How do you think that solved the?,1
359,How do you wonder whether said that solved the?,0
360,How do you wonder whether said solved the?,0
361,Which do you wonder whether said that solved?,0
362,How did you think that solved the?,1
363,hired.,1
364,I heard that hired.,1
365,I resigned because hired.,1
366,wondered which of himself saw?,1
367,Which of himself does think that said that?,1
368,Mary that said that likes of himself?,0
369,"Mary that said that of himself, likes?",1
370,"If you don't believe me, you will the?",1
371,"I rolled up a, and did a?",1
372,"likes, but she doesn't meteorology?",1
373,The proved guilty and the will prove.,1
374,"will believe, and you will Bob.",1
375,You might not believe me but you will Bob.,1
376,You will Bob.,0
377,How did you solve the?,1
378,I wonder who could solve the in this.,1
379,How do you wonder who could solve this.,0
380,No can predict how many will vote for him.,1
381,Every is worried when the starts attacking him.,1
382,Which appointed the who supported him?,1
383,The that no was elected that he was inadequate.,0
384,"sells, and.",1
385,The of whether met worries the who support.,1
386,They have left.,1
387,Have they left?,1
388,Could they have left?,1
389,He has often seen.,1
390,He I often sees.,1
391,He sees often.,0
392,he I often?,0
393,It seems that it is likely that will win.,1
394,It seems that is likely to win.,1
395,seems to be likely to win.,1
396,seems that it is likely to win.,0
397,seems will win.,0
398,How do you wonder which to solve?,0
399,How intelligent do you consider?,1
400,How many do you wonder whether I consider intelligent?,0
401,How intelligent do you wonder whether I consider?,0
402,What the do you wonder how to say?,0
403,He has left.,1
404,His is nice.,1
405,saw him.,1
406,works with him.,1
407,believes him to be a nice.,1
408,considers him a nice.,1
409,For him to do that would be a.,1
410,"With him sick, the is in.",1
411,A to be in the is unlikely.,0
412,A to come is unlikely.,0
413,to call would be unlikely.,0
414,This to be arrived at is surprising.,0
415,believes that he is sick.,1
416,believes that him is sick.,0
417,tries him to win.,0
418,where him to go.,0
419,Who do you think that likes?,1
420,Who do you think that believes to be innocent?,1
421,Who do you think that believes to be innocent?,0
422,Who would you prefer for to win the?,0
423,stole my.,1
424,My was stolen.,1
425,The eat all.,0
426,has often kissed.,1
427,The have all eaten the.,1
428,"In general, he understands what's going on.",1
429,It's probable that in general he understands what's going on.,1
430,It's probable in general that he understands what's going on.,0
431,In general that he understands what's going on is surprising.,0
432,I explained how to fix the.,1
433,I explained how we should fix the.,1
434,I explained that we should fix the.,1
435,I explained to fix the.,0
436,looked up the.,1
437,looked the up.,1
438,looked up them.,1
439,teamed up with the.,1
440,teamed with the up.,0
441,pointed out that had left.,1
442,pointed that had left out.,0
443,slips up all the.,1
444,slips all the up.,0
445,What does think bought?,1
446,thinks what bought.,0
447,wonders what bought.,1
448,What does wonder bought?,0
449,Who is he reading a that criticizes?,0
450,What do you remember where we bought?,0
451,Who bought what?,1
452,Who is reading a that criticizes who?,1
453,Who remembers where we bought what?,1
454,I wonder who what bought?,0
455,I wonder what who bought?,0
456,There aren't many here.,1
457,I haven't met many.,1
458,What does every buy?,1
459,I need Sally to be there.,1
460,The to collect the.,0
461,The was sunk to collect the.,1
462,wants to win.,1
463,The was unmade.,1
464,was unmade.,0
465,was unknown.,1
466,was unknown to be the.,0
467,We knew to be the.,1
468,He fed the.,1
469,The were uneducated.,1
470,The were undisciplined.,1
471,I believed these all to like.,1
472,They tried to all like.,1
473,I believed these to all like.,1
474,he try ever to talk to the?,0
475,you believe him ever to have made an to talk to the?,1
476,he try to ever be attentive to the of?,1
477,you believe him to ever have made an to talk to the?,1
478,out an that is typical of this of understood.,1
479,They were believed all to be quite diligent.,1
480,Was he believed ever to fail?,1
481,There is tending to be more and more of these.,1
482,seemed to be a great.,1
483,There promises to be a.,1
484,strived to be successful.,1
485,wanted to improve his in.,1
486,expected to win.,1
487,This is too dense to be read in one.,1
488,There is too likely to be a to be a serious of the.,0
489,tried.,1
490,remembered.,1
491,is refused.,1
492,.,1
493,"seems to be obnoxious, but I don't think that happens.",0
494,"seems to be obnoxious, but I don't think that turns out.",0
495,"seems to be obnoxious, but I don't think that tends.",0
496,They tried all to like.,0
497,They seemed all to like.,1
498,believes to be polite.,1
499,I believe with all my to be a fine.,1
500,is wanted to win.,0
501,would be liked to win.,0
502,We would like to win.,1
503,would be hated to win.,0
504,would be preferred to be the.,0
505,We would prefer to be the.,1
506,I would like for to win.,1
507,I would hate for to win.,1
508,I would prefer for to be the.,1
509,destroyed the.,1
510,The emitted into the.,1
511,struck the.,1
512,The contains.,1
513,The destroyed.,0
514,left the.,1
515,The was left by.,0
516,The was struck by.,1
517,The lies in the.,1
518,The rolled from the to the.,1
519,The contains the.,1
520,The dropped to the.,1
521,hit the from the.,1
522,The knocked against the into the.,1
523,The knocked the into the.,1
524,The contained the.,1
525,The gradually contained the.,0
526,The at once contained the.,0
527,The contained the to the.,0
528,The gradually dropped its to the.,1
529,The dropped its to the.,1
530,hit the.,1
531,hit the from the.,1
532,at once hit the from the.,1
533,hit the against the.,0
534,at once hit the against the.,0
535,dropped from the.,1
536,dropped from the from the.,0
537,fell against the.,0
538,fell against the against the.,0
539,The changed into an.,1
540,The changed from a into an.,1
541,The changed into an from a.,0
542,The changed into an from a.,1
543,The changed into an.,1
544,The developed out of a.,1
545,The reached the.,1
546,The knocked against the.,1
547,The became a.,1
548,The lasted till.,1
549,The went crazy.,1
550,It struck that it was so.,1
551,It came to that it was so.,1
552,The saw into the nest.,1
553,resulted in high.,1
554,The passed to.,1
555,is touching the.,1
556,The is being touched by.,1
557,A bear occupies the.,1
558,A bear inhabits the.,1
559,fills the.,1
560,The electric main joins the in the.,1
561,The is joined by the electric main in the.,1
562,The straddles the.,1
563,The is straddled by the.,1
564,The with a.,1
565,escaped the.,1
566,The escaped the.,1
567,The was escaped by the.,1
568,The rolling avoided the.,1
569,The was avoided by the rolling.,1
570,The caught the.,1
571,The soaked up the.,1
572,The filled with.,1
573,received a.,1
574,learned a.,1
575,The reached.,1
576,received the.,1
577,The finally got to after much.,1
578,The finally reached after much.,0
579,filled the high.,1
580,filled the.,1
581,emptied the.,0
582,The filled the high.,0
583,The filled of.,0
584,The filled with.,1
585,The emptied with.,0
586,the piled high with.,1
587,the blocked with a.,0
588,the dropped of its.,0
589,the piled the high.,0
590,a blocked the.,1
591,the drained the liquid free.,0
592,the dropped its free.,1
593,Some broke off of the.,1
594,The broke off some.,0
595,The dropped some.,1
596,The lost some.,1
597,bubbled out of the.,1
598,The bubbled up.,0
599,The bubbled.,1
600,The filled.,0
601,The knocked the into the.,0
602,The leaked empty of.,1
603,The knocked against the into the.,0
604,broke the.,1
605,The of the broke the.,1
606,The broke from hail.,0
607,The broke from the of the.,1
608,What the of the did to the was break it.,1
609,hit the against the.,1
610,hit the with the.,1
611,tapped some from a.,1
612,tapped a of some.,1
613,laid the on the.,1
614,included his in the.,1
615,loaded the onto the.,1
616,loaded the with.,1
617,fed to the.,1
618,fed the.,1
619,fed the up with.,1
620,fed the up.,0
621,The lies completely in the.,1
622,The completely contains the.,1
623,The got to the fully.,1
624,The reached the fully.,1
625,the against the completely.,1
626,the with the completely.,1
627,the onto the completely.,1
628,all the onto the completely.,1
629,the with all the.,0
630,Spray the whole with the.,1
631,What did to the was it.,1
632,What did to the whole was it.,1
633,What did to the was hit it.,1
634,What the did to the was hit it.,0
635,What the did to the whole was hit it.,0
636,took to be a.,1
637,concluded to be a.,0
638,Give the to the full.,1
639,Give the to the.,0
640,Give the the full.,1
641,Give the the bottle.,0
642,Rub the on the.,1
643,Rub the on the.,0
644,Rub the with the.,1
645,Rub the with the cloth.,0
646,the with the cloth.,1
647,the with the.,0
648,The knocked the apart.,0
649,The knocked the cup.,1
650,The smashed apart against the.,1
651,The smashed the cup.,1
652,The filled with out of the.,1
653,The emptied of onto the.,1
654,included her in the.,1
655,rolled the from the to the.,1
656,tapped the of some.,1
657,gave the.,1
658,got the from.,1
659,gave of the.,0
660,We have in the.,1
661,is very fond of.,1
662,laughed at.,1
663,The sank beneath the.,1
664,Mary a and a.,1
665,as strange and as.,1
666,put the on the and the on the.,1
667,gave a to and a to.,1
668,I expect to win and to lose.,1
669,You eat the fish and the cooked.,1
670,They told who to talk to and when to leave.,1
671,"loaned, and his later donated, a valuable of to the.",1
672,"moved, and also transferred, her to a different.",1
673,"I succeeded in, even though had failed to persuade, not to leave.",1
674,"We didn't particularly like, but nevertheless, the fish.",1
675,"desperately wants, though she doesn't really expect, the to be in the.",1
676,learned perfectly.,1
677,recited his poorly.,1
678,plays the beautifully.,1
679,perfectly learned.,0
680,poorly recited his.,0
681,learned immediately.,1
682,recited his slowly.,1
683,will play the soon.,1
684,immediately learned.,1
685,slowly recited his.,1
686,will soon play the.,1
687,immediately learned French perfectly.,1
688,learned perfectly almost immediately.,1
689,learned perfectly immediately.,1
690,perfectly learned French immediately.,0
691,learned immediately perfectly.,0
692,"Clearly, immediately will probably learn French perfectly.",0
693,"Immediately, probably will clearly learn French perfectly.",0
694,"Clearly, perfectly will immediately learn French probably.",0
695,perfectly rolled the down the.,0
696,rolled the perfectly down the.,1
697,rolled the down the perfectly.,1
698,perfectly shot the.,0
699,shot the perfectly.,1
700,intimately spoke to.,0
701,spoke intimately to.,1
702,spoke to intimately.,1
703,spoke intimately to.,1
704,spoke French to intimately.,1
705,jumped the perfectly over the last.,1
706,jumped the over the last perfectly.,1
707,spoke intimately French to.,0
708,spoke to.,0
709,persuaded to leave.,0
710,The ate raw the.,0
711,persuaded that he should rest.,0
712,We consider the all.,1
713,We consider the all totally crazy.,1
714,I saw the all.,0
715,The were arrested all.,0
716,The arrived all.,0
717,The ordered the two both to pay close.,1
718,They returned the all to their.,1
719,We painted the all red.,1
720,The fed the all to the.,1
721,of himself doesn't consider.,0
722,was gone by.,0
723,left the.,1
724,The was left angry by.,0
725,The was left angry.,0
726,.,1
727,is resembled by.,0
728,The weighed 10.,1
729,10 was weighed by the.,0
730,This cost $10.,1
731,$ 10 was cost by this.,0
732,The $10.,1
733,was cost $10 by the.,0
734,is impressed by as pompous.,0
735,The were made a good.,0
736,The were made a good by.,0
737,The were failed by as a.,0
738,The were failed as a.,0
739,The were struck by the as.,0
740,The were promised to leave.,0
741,He impresses his all as pompous.,0
742,made the all a good.,0
743,failed the all as a.,0
744,promised the all to leave.,0
745,We proclaimed to the public to be a.,0
746,We proclaimed to the to be a.,1
747,We proclaimed sincerely to be a.,0
748,We proclaimed sincerely to be a.,1
749,We proclaimed sincerely to the public to be a.,0
750,We proclaimed sincerely to the to be a.,1
751,They represented to the dean as a genuine.,0
752,They represented to the as a genuine.,1
753,They represented seriously as a genuine.,0
754,They represented seriously as a genuine.,1
755,They represented seriously to the as a genuine.,1
756,We proved to the to be the.,0
757,We proved conclusively to be the.,0
758,We proved conclusively to be the.,1
759,We proved conclusively to the to be the.,0
760,We proved conclusively to the to be the.,1
761,The watered the flat.,1
762,The the to a fine.,1
763,They painted their a hideous of green.,1
764,The ran their.,1
765,The laughed themselves into a.,1
766,He coughed his completely soggy.,1
767,They fed the to the raw.,1
768,The ate at the.,0
769,We love them.,1
770,We love they.,0
771,We love their.,0
772,love their.,0
773,Our they.,1
774,Our love them.,1
775,Our love their.,1
776,he belief that kissed is mistaken.,0
777,him that kissed is mistaken.,0
778,his that kissed is mistaken.,1
779,loves him.,1
780,is of him.,1
781,is fond him.,0
782,criticized him.,1
783,'s him was.,0
784,'s of him was.,1
785,That loves is doubtful.,1
786,to love would be doubtful.,0
787,For to love would be doubtful.,1
788,To go abroad would be nice.,1
789,'s to go abroad is nice.,1
790,believed to have loved her.,1
791,considered to have loved her.,1
792,reported to have loved her.,1
793,considered to have loved her.,0
794,tried to go abroad.,1
795,intended to go abroad.,1
796,managed to go abroad.,1
797,desired to go abroad.,1
798,tried to go abroad.,0
799,managed to go abroad.,0
800,desired to go abroad.,0
801,believed him to have loved her.,1
802,considered him to have loved her.,1
803,believed he to have loved her.,0
804,considered he to have loved her.,0
805,reported he to have loved her.,0
806,believed his to have loved her.,0
807,considered his to have loved her.,0
808,reported his to have loved her.,0
809,It is certain that has loved.,1
810,It is likely that has loved.,1
811,There are in that.,1
812,There is in that.,0
813,There is arriving three at that.,0
814,There are arriving three at that.,1
815,I consider there to be a in that.,1
816,I consider there a in that.,0
817,They alleged there to have been many in that.,1
818,They alleged many to have been in that.,0
819,wagered there to have been a in that haunted.,1
820,wagered a to have been in that haunted.,0
821,tried to kiss.,1
822,persuaded to kiss him.,1
823,told to kiss him.,1
824,It is illegal to park here.,1
825,I remembered him having kissed.,1
826,I reported him having kissed.,1
827,I reported having kissed.,1
828,I enjoy taking a.,1
829,I detest taking a.,1
830,I enjoy him taking a.,0
831,I detest him taking a.,0
832,I saw him kissing.,1
833,I noticed him kissing.,1
834,I noticed kissing.,0
835,There was known to.,0
836,'s refusing the is shocking.,1
837,the's destroying the was horrific.,1
838,'s of the was shocking.,1
839,the's of the was horrific.,1
840,wanted to leave the happy and leave the he did happy.,0
841,"I often send, and she gets there just.",1
842,I raw eat fish.,0
843,I only eat fish.,0
844,"I don't think will, either.",1
845,"likes, and does too.",1
846,", and has too.",1
847,"is eating, and is too.",1
848,is leaving but's not.,1
849,I consider and I consider Sally not.,1
850,"Sally started running down the, but only after started.",0
851,"Sally made laugh, and then made.",0
852,"came to read's, and I also came to.",0
853,"wants to go on, but he doesn't know when to.",1
854,"was told to bring to the, so she asked what to.",0
855,We might go on if we can ever figure out when to.,0
856,"wanted to wear a to the, but couldn't decide whether to.",0
857,You shouldn't play with because to is dangerous.,0
858,is being discussed and is being too.,0
859,"I remember being discussed, but you recall Sally being.",0
860,"Sally might have eaten, but shouldn't.",1
861,"asks that we go to the, and will tell us when.",1
862,"It's we go to the, that will tell us when.",0
863,It's to that said can talk.,1
864,"claimed that eaten, hasn't.",1
865,"claimed that eating ,'s not.",1
866,"claimed that, wants to.",1
867,"claimed that would eat ,.",0
868,"claimed that hasn't eaten ,.",0
869,"claimed that eating, started.",0
870,"claimed that, made me.",0
871,"claimed that have eaten, should.",0
872,"claimed that, I consider Holly not.",0
873,Lilly recounted a to remember because had also recounted a to.,0
874,I reviewed's to find while you reviewed's to.,0
875,"questioned's to eat, but only after I had questioned's to.",0
876,"Sally explained the to arrest, but only after I had denied the to.",0
877,"didn't hit a, but I know a who did.",1
878,"That won the is not surprising, but that didn't know she did is surprising.",1
879,You shouldn't have played with because to have is dangerous.,0
880,"wanted to be wearing a to the, but didn't know whether to be.",0
881,Lilly recounted a to be remembered because had recounted a to be.,0
882,"Lilly decided that eating, she should be.",1
883,"Lilly decided eating, to be.",0
884,"'s, I also want to.",1
885,You shouldn't play with because with to is dangerous.,0
886,"wanted to wear a to the, but wear a to the couldn't decide whether to.",0
887,recounted a to remember because remember had recounted a to.,0
888,came to introduce the but I came not to.,1
889,came to introduce the but I came precisely not to.,1
890,You should unload because not to s is dangerous.,1
891,"If knows whether to wear a, and knows whether not to, do they know different?",1
892,recounted a to remember because had recounted as not to.,1
893,"I will, if I can work on it.",0
894,leave?,1
895,?,1
896,A that exist does.,0
897,A that does.,0
898,I visited every in every I had to.,0
899,Every who said he would buy some did.,1
900,I visited every I had to.,1
